frame,x,y,z
1,2.893885850906372,4.595891952514648,0.2835559844970703
2,2.878523349761963,4.519808769226074,0.5671119689941406
3,2.8631608486175537,4.4437255859375,0.8506679534912109
4,2.8477983474731445,4.367642402648926,1.1342239379882812
5,2.8324358463287354,4.291558742523193,1.4177799224853516
6,2.8170735836029053,4.215475559234619,1.7013359069824219
7,2.801711082458496,4.139392375946045,1.9848918914794922
8,2.786348581314087,4.063309192657471,2.2684478759765625
9,2.7709860801696777,3.0415310859680176,2.347289562225342
10,2.7556235790252686,2.0197529792785645,2.426131248474121
11,2.7402610778808594,0.9979748725891113,2.5049731731414795
12,2.72489857673645,-0.023803234100341797,2.583814859390259
13,2.709536075592041,-1.045581340789795,2.662656545639038
14,2.694173574447632,-2.067359447479248,2.7414984703063965
15,2.6788110733032227,-3.089137554168701,2.820340156555176
16,2.6634485721588135,-4.110915660858154,2.899181842803955
17,2.6480860710144043,-5.132694721221924,2.692901372909546
18,2.632723808288574,-6.1544718742370605,2.4866209030151367
19,2.617361307144165,-7.176249027252197,2.2803406715393066
20,2.601998805999756,-8.198028564453125,2.0740602016448975
21,2.5866363048553467,-9.219806671142578,1.8677797317504883
22,2.5712738037109375,-10.241584777832031,1.661499261856079
23,2.4672458171844482,-10.174806594848633,1.7828936576843262
24,2.2597219944000244,-10.108028411865234,1.9042879343032837
25,1.9672784805297852,-10.041250228881836,2.025682210922241
26,1.608492136001587,-9.974472999572754,2.1470766067504883
27,1.2019397020339966,-9.907694816589355,2.2684710025787354
28,0.7661981582641602,-9.840916633605957,2.3898653984069824
29,0.31984376907348633,-9.774138450622559,2.5112595558166504
30,-0.11854660511016846,-9.70736026763916,2.6326539516448975
31,-0.5303957462310791,-9.640583038330078,2.7540483474731445
32,-0.8971273899078369,-9.57380485534668,2.8754425048828125
33,-1.2001643180847168,-9.507026672363281,2.9968369007110596
34,-1.4209306240081787,-9.440248489379883,3.1182312965393066
35,-1.5790797472000122,-9.346847534179688,2.9155478477478027
36,-1.7085613012313843,-9.253446578979492,2.712864398956299
37,-1.8122422695159912,-9.160045623779297,2.510180950164795
38,-1.8929892778396606,-9.066644668579102,2.30749773979187
39,-1.9536685943603516,-8.973243713378906,2.104814291000366
40,-1.9971476793289185,-8.879842758178711,1.9021308422088623
