frame,gui_x,gui_y,gui_z,gt_x,gt_y,gt_z,err_x,err_y,err_z,error_3d
85,-0.00014101142031044955,-11.427527167081443,2.2099389370476903,-1.7883612599689513e-05,-12.762018203735352,2.165879726409912,-0.00012312780771076004,1.3344910366539082,0.04405921063777818,1.3352181679830841
86,-0.00085850089968878,-11.292399839790427,2.230799989458511,-0.0001430689444532,-12.59815502166748,3.0450401306152344,-0.00071543195523558,1.3057551818770534,-0.8142401411567235,1.5388255633152774
87,-0.006802148227357113,-10.440966498589656,2.2099389370476903,-0.000482857809402,-11.785451889038086,2.608346939086914,-0.006319290417955113,1.3444853904484297,-0.3984080020392238,1.4022873580866153
88,-0.006749000868356336,-10.253799845314898,2.230799989458511,-0.0011445520212873,-10.972749710083008,2.171653985977173,-0.005604448847069036,0.7189498647681098,0.05914600348133803,0.7214004211426392
89,-0.008432000859404237,-9.6721838484086,2.230799989458511,-0.0022354538086801,-10.160046577453612,2.224644660949707,-0.006196547050724137,0.4878627290450108,0.006155328508803848,0.48794090590526307
90,-0.011798000841499956,-9.007479851944254,2.230799989458511,-0.0038628641050308,-9.34734344482422,2.277635097503662,-0.007935136736469155,0.3398635928799667,-0.04683510804515123,0.3431672413064907
91,-0.016005500819119667,-8.42586385503796,2.230799989458511,-0.006134086754173,-8.53464126586914,2.3306257724761963,-0.009871414064946668,0.10877741083118053,-0.09982578301768541,0.14797012157145464
92,-0.01933142936861676,-7.579157574570598,2.2203142752840517,-0.0091564208269119,-7.721938610076904,2.3836164474487305,-0.010175008541704859,0.1427810355063066,-0.1633021721646788,0.21715790184282807
93,-0.022004581440835558,-7.207239860030974,2.2521096666499485,-0.0130371693521738,-6.909235954284668,2.4366071224212646,-0.008967412088661758,-0.298003905746306,-0.18449745577131615,0.3506081195661473
94,-0.02702600076456682,-6.357994603288805,2.2413978503080334,-0.0178836341947317,-6.096532821655273,2.489597797393799,-0.009142366569835123,-0.26146178163353184,-0.24819994708576543,0.3606231549066902
95,-0.024765377842812103,-6.054904650918559,2.284947529858211,-0.0238031242042779,-5.283830165863037,2.542588233947754,-0.0009622536385342044,-0.7710744850555216,-0.257640704089543,0.8129794092346116
96,-0.03221116203112273,-4.813769421286192,2.2521096666499485,-0.0309029296040534,-4.471127510070801,2.595578908920288,-0.0013082324270693307,-0.34264191121539156,-0.3434692422703396,0.4851559658287021
97,-0.03646390394374244,-3.9319645228012696,2.2521096666499485,-0.0392903536558151,-3.8899080753326416,2.304145336151123,0.0028264497120726595,-0.04205644746862802,-0.05203566950117455,0.06696599504294558
98,-0.03971600069670586,-2.9331694665231645,2.2413978503080334,-0.0490727052092552,-3.3086886405944824,2.012711524963379,0.009356704512549337,0.37551917407131796,0.2286863253446545,0.439772251755589
99,-0.040326230216796516,-2.427182703529059,2.284947529858211,-0.0603572651743888,-2.7274692058563232,1.721277952194214,0.020031034957592286,0.30028650232726406,0.5636695776639968,0.6389809219572388
100,-0.045513181008124654,-1.4882429053811919,2.284947529858211,-0.0732513666152954,-2.146249771118164,1.4298443794250488,0.027738185607170743,0.6580068657369722,0.8551031504331621,1.0793256413976695
