Frame,Distance
1,29.8370507753944
2,29.832939972168155
3,29.82062139950347
4,29.800137246557107
5,29.77155752798229
6,29.734980426186862
7,29.690531077820783
8,29.638361709802723
9,29.578651708946477
10,29.511605893380576
11,29.43745573549475
12,29.356456037386042
13,29.268886105267697
14,29.175048659545435
15,29.075268804545072
16,28.9698914663734
17,28.859281768514812
18,28.743824168128537
19,28.623918893198717
20,28.49998217136772
21,28.37244496502375
22,28.241749385406365
23,28.108347705319623
24,27.972701806655188
25,27.835278810012785
26,27.696550850258294
27,27.5569915000243
28,27.417074287915295
29,27.277269869001547
30,27.13804378980009
31,26.999854520930775
32,26.863149298012054
33,26.728364245681544
34,26.595918641944397
35,26.46621552687817
36,26.339637120004358
37,26.21654379436959
38,26.097270676586707
39,25.982127469732657
40,25.871393389724822
41,25.746324211103385
42,25.626139149583473
43,25.51158710954013
44,25.403365079781874
45,25.302110774727012
46,25.208395146949744
47,25.1227158156333
48,25.04549058263109
49,24.977052620242944
50,24.917645637072283
51,24.867420794111794
52,24.826434375056145
53,24.794646312679223
54,24.771920991209925
55,24.758027319141654
56,24.75264159883594
57,24.75535159529997
58,24.765659053801144
59,24.78298821411714
60,24.80668917822684
61,24.836047336859053
62,24.87028869373796
63,24.908590524727458
64,24.950089646392165
65,24.993891126073613
66,25.039076944830335
67,25.084718119519437
68,25.129881881857965
69,25.173645323113487
70,25.215100972382196
71,25.253372392700122
72,25.287619482748674
73,25.317057499106504
74,25.340958021136856
75,25.358670332144378
76,25.369626762106307
77,25.37336382770292
78,25.3700321527714
79,25.36005922340829
80,25.343511385184296
81,25.320497894955395
82,25.291172010420013
83,25.255729669078796
84,25.21440802041201
85,25.16748662673016
86,25.115282996413978
87,25.058154294517436
88,24.996494022724768
89,24.930730120302282
90,24.861324969069894
91,24.788769771220572
92,24.713584181945368
93,24.636314282888417
94,24.55752700010747
95,24.477807935208247
96,24.397759672006504
97,24.31799313899335
98,24.239128801403023
99,24.16178880980899
100,24.086593876845793
101,24.014157762776406
102,23.94508225307612
103,23.879953761621174
104,23.819335835703164
105,23.76376542294913
106,23.713748197127718
107,23.669752945550123
108,23.632206966790882
109,23.60149158379042
110,23.577939295670106
111,23.56182853924487
112,23.553381853783872
113,23.5527630197717
114,23.560075245884143
115,23.575359478589842
116,23.575359478589842
117,23.575359478589842
118,23.575359478589842
119,23.575359478589842
120,23.575359478589842
121,23.575359478589842
122,23.575359478589842
123,23.575359478589842
124,23.575359478589842
125,23.575359478589842
126,23.575359478589842
127,23.575359478589842
128,23.575359478589842
129,23.575359478589842
130,23.575359478589842
131,23.575359478589842
132,23.575359478589842
133,23.575359478589842
134,23.575359478589842
135,23.575359478589842
136,23.575359478589842
137,23.575359478589842
138,23.575359478589842
139,23.575359478589842
140,23.575359478589842
141,23.575359478589842
142,23.575359478589842
143,23.575359478589842
144,23.575359478589842
145,23.575359478589842
146,23.575359478589842
147,23.575359478589842
148,23.575359478589842
149,23.575359478589842
150,23.575359478589842
151,23.575359478589842
152,23.575359478589842
153,23.575359478589842
154,23.575359478589842
155,23.575359478589842
156,23.575359478589842
157,23.575359478589842
158,23.575359478589842
159,23.575359478589842
160,23.575359478589842
