Frame,Distance
0,29.497403738135148
1,29.495050910222776
2,29.490727930502942
3,29.47052516624955
4,29.4587977788796
5,
6,
7,29.38345048687935
8,29.28346366867835
9,29.161430469606763
10,29.1335117536581
11,29.1036975161406
12,28.92707506864644
13,
14,28.778739256508118
15,28.69793414488612
16,28.527022539682974
17,28.445207918486446
18,
19,28.178923159817767
20,
21,
22,27.826812484971033
23,
24,
25,
26,
27,
28,27.006827871264097
29,
30,
31,
32,
33,
34,
35,
36,25.863888772508208
37,25.775380320050044
38,
39,
40,28.884054219050704
41,
42,
43,28.363427922534786
44,28.20647238435354
45,
46,28.059944384370624
47,27.97563054737506
48,27.820953891404358
49,
50,27.756521215070787
51,27.613380322720136
52,27.531029269192636
53,
54,
55,
56,
57,
58,
59,27.158290951483604
60,32.02597230442132
61,27.181453706556102
62,
63,32.26822299868054
64,32.333947544585
65,
66,31.63897741306526
67,
68,
69,30.214563332422273
70,30.200050228349784
71,
72,28.19023525233964
73,
74,
75,37.83352549339465
76,25.057378401740667
77,25.06961434116943
78,25.053389704262965
79,25.048388789685667
80,25.012122714070678
81,24.948437710234508
82,24.924269355230603
83,24.876830302227653
84,
85,24.772832346880406
86,24.72361621625029
87,24.66846588617926
88,24.587437353849506
89,24.511243235391532
90,24.469107379602626
91,24.38691078153706
92,24.301474197922943
93,24.24530022153856
94,24.14241558486051
95,24.06794017807787
96,23.990042262808863
97,23.897221630721983
98,23.866286649570807
99,23.760638752633305
100,23.66556011016981
101,23.627129177686278
102,23.53282235962851
103,23.524868587240295
104,23.41722367339236
105,23.413364513969956
106,
107,23.333339311982378
108,23.260814646543604
109,23.294517436874923
110,23.26191094381709
111,23.25750408660329
112,
113,23.277996479790215
114,20.59234867777454
115,20.569183815600198
116,
117,
118,
119,20.625682042002364
120,20.679557135092924
121,20.724065362691718
122,
123,20.83611049742886
124,
125,
126,21.10305646423179
127,
128,
129,
130,
131,
132,21.684692145979998
133,
134,22.088221228848603
135,
136,22.47051898815023
137,22.650934457129363
138,22.79101582627123
139,23.118559531233586
140,
141,23.490174717098597
142,23.677297346051514
143,23.85785996676937
144,24.127682169752042
145,24.407525653440786
